title,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link
Angels and Demons,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUdFf8V7F4Qg_Bs_1JO88lzdKVAf86TLVIs52CUcCNYjKojNDVBraRKg5zcwlGZbrr3sAuesvxltCUWA5bXM-wG52A.jpg?r=d7e
Tiger,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa2dXsABWqNKht7FFOeEzYC9dxfwiAHVB6UFZEGo0x3yb6UKPkqu2cDLNyByYH66dpgh6zntM85lfk-iGHuP0PuXkA.jpg?r=827
2 Fast 2 Furious,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcPADEjySdmCNxJrnX6owPs92K-0NGAtcYnmtpNLqNsQTXglXWyTSo9MDTxUKFAYoEILjhAM0gNbxzanxRGjCoCc5g.jpg?r=ae6
Avatar  The Last Airbender,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfckM6bte1VR0xi8Vrzogt5sKG8_zr6b3MKl3MZo0tss5Tpc95pzopVin3zLtV1qXJnGs-5jeaZynTaMQYQearKlQw.jpg?r=fdc
The Fast and the Furious  Tokyo Drift,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe5uv9llH5Gs8pFvSjXG8FBeyz_RDN33tqjnMCRurpXwmx9D4AzoEmUbGieH-7V6VKN1OLjqjoY9jOVLQ3BdSgc8Cw.jpg?r=c1c
Grease,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUKrjb4yctnWsTdjZtPSn7lY_HbbfoFtgyggR7uGRa5jIEwEWuFZaSXPie_ewDjNb4FJsgZV3ZrbQzkkKH8bp4GIFQ.jpg?r=345
Halloween,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,http://art-2.nflximg.net/f10ae/560efb5f014f1d9880edfc48d28d2f9be8df10ae.jpg
The Boondock Saints,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-3451-3446.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABf7ZqsN8MlsGkBTIDosuCoj7oYN3E74V9ybibqZyfRCj16ovdv_IAU2JRXSZ8RKuoZNT68AbZSrCWbYB0SuIJy4qDDpSvhs.jpg?r=943
conjuring 2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXS_9KO7IbGe282ZGDYDPzS4g0-AbpFQgTGDup3Z73akayka_NhjyHDipgmtXDUhYsm0_KP6TgLKiCkVu7tb_qjC2g.jpg?r=f3e
The Tourist,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfc8s4LF_g7vX9lEz5utsviw7chYY7jKeNhbWU2pC3zTLrN6RjrcbLy7nLZnueOXPZDLhufGykU47gJ4Po9eA5huRw.jpg?r=8f6
A Man in the Dark,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUu01ikV1P_miRhawF0UzVKoq-OqMgeraFdy2x56Opt4CiXwFBKBwHC0VVE123OddRX0gATjjVfI1v1z5-B1aC9Psg.jpg?r=fac
